Code/Num,Name
ACCT101,Life Skills for Money Wellness
ACCT211,Financial Accounting
ACCT212,Managerial Accounting
ACCT305,Accounting Systems
ACCT311,Intermediate Accounting I
ACCT312,Intermediate Accounting II
ACCT313,Intermediate Accounting III
ACCT315,Cost Accounting
ACCT316,Advanced Cost Accounting
ACCT325,Auditing
ACCT330,Governmental and Nonprofit Accounting
ACCT350,International Accounting
ACCT401,Advanced Financial Accounting
ACCT420,Tax
ACCT421,Advanced Tax
ACCT425,Tax Practicum
ACCT490,Special Topics in Accounting
ACCT494,Internship in Accounting
ACCT499,Independent Study in Accounting
ADSP280,Leadership and Group Dynamics in Adventure Sports
ADSP330,Outdoor Education
ADSP340,Expedition Planning in Adventure Sports
ADSP342,Fitness and Nutrition in Adventure Sports
ADSP348,Adaptive and Inclusive Adventure Sports
ADSP350,Risk Management in Adventure Sports
ADSP360,Entrepreneurship in Adventure Sports
ADSP382,Agency Assessment and Administration in Adventure Sports
ADSP480,Field Experience in Adventure Sports
ADSP492,Mentorship in Adventure Sports
ADSP495,Mentorship in Adventure Sports
AAST200,Introduction to African American Studies
AAST300,Traditional Africa
AAST400,Africans of the Diaspora
AAST425,History of African American Theatre
AAST490,Topics in African American Studies
AAST494,African American Studies Practicum
ART100,Art Appreciation
ART104,TwoDimensional Design
ART105,ThreeDimensional Design
ART110,Visual Imagery
ART111,Honors: Art Appreciation
ART202,Ceramics
ART207,Graphic Design
ART209,Crafts Workshop
ART212,Drawing
ART216,Illustration
ART221,Painting
ART232,Printmaking
ART235,Photography
ART240,Sculpture
ART291,Studio Focus Review
ART301,Artistic Traditions: Asia
ART302,Artistic Traditions: Africa and the Americas
ART307,Computer Graphics
ART336,Digital Imaging for the Fine Arts
ART360,Western Art History
ART370,Women/Gender and the Visual Arts
ART380,19thCentury Art History
ART402,Advanced Ceramics
ART407,Advanced Graphic Design: Print
ART408,20thCentury Art History
ART411,Senior Portfolio
ART412,Advanced Drawing
ART414,Advanced Graphic Design: Interactive Multimedia Design
ART415,Art Criticism
ART416,Advanced Illustration
ART421,Advanced Painting
ART430,Greek and Roman Art
ART432,Advanced Printmaking
ART435,Advanced Photography
ART440,Advanced Sculpture
ART452,Ceramic Glaze Research
ART460,Renaissance and Baroque Art History
ART490,Special Topics in Art
ART491,Senior Review
ART492,Internship Research
ART495,Internship in Art
ART499,Independent Study
ATTR206,Introduction to Athletic Training
ATTR210,Athletic Taping and Bracing Techniques
ATTR222,Emergency Medical Techniques in Athletic Training
ATTR223,Clinical Experiences in Athletic Training I
ATTR318,Orthopedic Assessment I: Lower Extremity
ATTR319,Orthopedic Assessment II: Upper Extremity
ATTR320,Pharmacology and General Medical Conditions
ATTR322,Clinical Experiences in Athletic Training II
ATTR323,Clinical Experiences in Athletic Training III
ATTR340,Organization and Administration of Athletic Training
ATTR408,Therapeutic Modalities in Sports Medicine
ATTR413,Rehabilitation Techniques in Sport Medicine
ATTR414,Advanced Rehabilitation Techniques in Athletic Training
ATTR422,Clinical Experiences in Athletic Training IV
ATTR423,Clinical Experiences in Athletic Training V
ATTR450,Evidence-Based Practice in Athletic Training
ATTR480,Capstone I in Athletic Training
ATTR485,Capstone II in Athletic Training
BIOL109,Human Biology and the Environment
BIOL128,Introduction to Ethnobotany
BIOL149,General Biology I
BIOL159,Honors: General Biology I
BIOL160,General Zoology
BIOL161,General Botany
BIOL200,Scientific Investigation and Communication
BIOL211,Essentials of Anatomy & Physiology
BIOL230,Wildlife Techniques
BIOL302,Animal Physiology
BIOL304,Microbiology
BIOL309,General Entomology
BIOL310,Cell Biology
BIOL313,Plant Evolution and Diversity
BIOL321,Anatomy and Physiology I
BIOL322,Anatomy and Physiology II
BIOL328,Economic Botany
BIOL334,General Animal Behavior
BIOL340,General Ecology
BIOL350,Genetics
BIOL360,Virology
BIOL401,Genetics Laboratory
BIOL402,Evolution
BIOL403,Plant Physiology
BIOL404,Histology
BIOL405,Dendrology
BIOL406,Ornithology
BIOL407,Biological Systematics
BIOL409,Plant Taxonomy
BIOL410,Plant Diseases
BIOL411,Invertebrate Zoology
BIOL412,General Parasitology
BIOL414,Quantitative Analysis of Vertebrate Populations
BIOL417,Ichthyology
BIOL420,Fish Management and Culture
BIOL421,Sample Design and Analysis of Plant Communities
BIOL422,Herpetology
BIOL423,Mammalogy
BIOL425,Forest Ecology and Conservation
BIOL426,Vertebrate Zoology
BIOL427,Comparative Anatomy
BIOL428,Ethnographic Field Techniques
BIOL430,Introductory Limnology
BIOL435,Molecular Biology
BIOL437,Molecular Biology Seminar
BIOL438,Biotechnology Laboratory
BIOL439,Environmental Toxicology
BIOL440,Developmental Biology
BIOL445,Immunology
BIOL450,Ecology and Management of Wildlife Populations
BIOL456,Advanced Microscopy
BIOL460,Forestry Field Practice
BIOL465,Environmental Health
BIOL484,Field Experiences in Ethnobotany and Ecology
BIOL490,Special Topics in Biology
BIOL492,"Wildlife, Fisheries and Interpretive Biology and Natural History Seminar"
BIOL493,Advanced Biology Research
BIOL494,Field Experience in Biological Sciences
BIOL496,Seminar In Biology
BIOL497,Readings in Biology
BIOL498,Honors Program - Readings in Biology
BIOL499,Special Problems in Biology
BUAD100,Introduction to Business
BLAW291,Legal Environment of Business
BMIS320,Advanced Computer Applications in Business
BMIS455,Management Information Systems
CHEM100,Chemistry and Society
CHEM103,Foundations of Chemistry
CHEM113,Honors: Chemistry and Society
CHEM133,General Chemistry for Engineers
CHEM150,"General, Organic, and Biochemistry"
CHEM201,General Chemistry I
CHEM202,General Chemistry II
CHEM304,Computational Techniques
CHEM305,Research Methods in Chemistry
CHEM311,Organic Chemistry I
CHEM312,Organic Chemistry Laboratory I
CHEM320,Quantitative Analytical Chemistry
CHEM321,Organic Chemistry II
CHEM322,Organic Chemistry Laboratory II
CHEM330,Medicinal Chemistry
CHEM341,Introduction to Geochemistry
CHEM394,Peer Mentoring in Chemistry
CHEM411,Advanced Inorganic Chemistry
CHEM420,Environmental Chemical Analysis
CHEM421,Instrumental Analysis
CHEM425,Pharmacological Ethnobotany
CHEM438,Advanced Organic Chemistry
CHEM441,Physical Chemistry Lecture I
CHEM442,Physical Chemistry Lecture II
CHEM445,Physical Chemistry Laboratory I
CHEM446,Physical Chemistry Laboratory II
CHEM455,Biochemistry I
CHEM456,Biochemistry Laboratory
CHEM457,Biochemistry II
CHEM460,Environmental Chemistry
CHEM490,Selected Topics in Chemistry
CHEM491,Seminar in Chemistry
CHEM492,Capstone Experience
CHEM493,Advanced Chemical Research
CHEM495,Internship in Chemistry
CHEM499,Special Problems in Chemistry
CMST102,Introduction to Strategic Communication Leadership
CMST112,Honors: Introduction to Strategic Communication Leadership
CMST122,Introduction to Public Communication
CMST215,Collaboration and Team Communication
CMST225,Foundations of Strategic Messaging
CMST300,Communication and Relationships
CMST302,Argumentation and Advocacy
CMST310,Civic Communication
CMST312,Digital Identity and Community
CMST322,Presentational Communication
CMST325,Public Relations Principles
CMST335,Organizational Communication
CMST345,Conflict Management
CMST350,Intercultural Communication
CMST355,Political Communication
CMST365,Environmental Communication
CMST422,Seminar in Rhetorical Criticism
CMST425,Public Relations Strategies
CMST451,Seminar in Communication Theory
CMST485,Rights and Responsibilities of Communication
CMST490,Special Topics in Communication Studies
CMST492,Communication Studies Internship Project
CMST494,Communication Studies Field Experience
CMST495,Internship in Communication Studies
CMST499,Directed Study in Communication Studies
COSC100,Introduction to Computer Science
COSC101,The Discipline of Computer Science
COSC102,Foundations of Computer Science
COSC110,Honors: Introduction to Computer Science
COSC120,Introduction to Cyberspace
COSC130,Introduction to Programming
COSC220,Software Applications for Business
COSC240,Computer Science I
COSC241,Computer Science II
COSC300,Structured Systems Analysis and Design
COSC305,Computer Ethics
COSC310,Data Structures and Algorithm Analysis
COSC320,Business Programming
COSC325,Software Engineering
COSC330,Web Design and Development
COSC331,Fundamentals of Computer Networks
COSC335,Advanced Topics in Computer Networks
COSC345,The Internet and Multimedia Communications
COSC350,Low-Level Programming Concepts
COSC365,Digital Logic
COSC380,Computer-Based Information Systems
COSC390,Topics in Modern Programming Languages
COSC394,Field Experience for Non-Majors
COSC415,Computer Interfacing
COSC420,Robotics and Computer Control
COSC431,Secure Computing
COSC435,Network Implementation and Testing
COSC440,Database Management Systems
COSC444,Introduction to Parallel Computing
COSC445,Network Programming
COSC450,Programming Language Principles and Paradigms
COSC455,Artificial Intelligence
COSC460,Operating Systems Concepts
COSC465,Computer Systems Architecture
COSC470,Compiler Design and Implementation
COSC475,Interactive Computer Graphics
COSC480,Knowledge-Based Systems
COSC485,Introduction to the Theory of Computation
COSC489,Capstone Course
COSC491,Seminar in Computer Science
COSC494,Field Experience in Computer/Information Science
COSC499,Individual Problems in Computer Science
DANC110,Dance Appreciation
DANC131,Ballet I
DANC154,Jazz I
DANC165,Tap I
DANC231,Ballet II
DANC254,Jazz II
DANC255,Dance Company I
DANC265,Tap II
DANC305,Improvisation
DANC309,Composition and Theory
DANC342,Contemporary Modern
DANC355,Dance Company II
DANC361,Dance for Musical Theatre
DANC382,Dance History
DANC408,Choreography and Production
DANC429,Special Topics in Dance
DANC471,Principles of Teaching Dance
DANC479,Teaching Practicum
DTSC201,Introduction to Data Analysis & Visualization
DTSC301,"Data Modeling, Wrangling, and Application"
DTSC401,Data Privacy and Ethics in Data Science
DVMT95,Pre-Algebra Mathematics
DVMT99,Intermediate Algebra
ECED150,Early Childhood Foundations
ECED293,"Early Childhood Learning Environment, Materials and Methods"
ECED431,"Early Childhood Education Curriculum Development, Implementation and Assessment"
ECED438,Early Childhood Classroom Management
ECED442,Administration & Supervision of Early Childhood Programs
ECED443,Adults in the Child's World
ECON113,Economics of Race and Gender
ECON200,Basic Economics
ECON201,Principles of Economics (Macro)
ECON202,Principles of Economics (Micro)
ECON211,Honors: Principles of Macroeconomics
ECON212,Honors: Principles of Microeconomics
ECON300,History of Economic Thought
ECON301,Labor Economics
ECON303,American Economic History
ECON305,Managerial Economics
ECON306,Money and Banking
ECON307,"Government, Business, and Public Policy"
ECON309,Comparative Economic Systems
ECON351,Intermediate Macro-Economics
ECON352,Intermediate Micro-Economics
ECON400,International Trade
ECON401,International Finance
ECON404,Public Sector Economics
ECON405,Economics of Developing Countries
ECON408,Urban and Regional Economics
ECON410,Resource and Energy Economics
ECON450,Quantitative Economics
ECON460,Introduction to Econometrics
ECON490,Special Topics in Economics
ECON491,Seminar in Economics
ECON492,Internship Research Paper
ECON494,Field Experience in Economics
ECON495,Internship in Economics
ECON499,Individual Problems in Economics
EDUC100,Introduction to Teacher Education
EDUC200,Teaching & Professional Assessment Laboratory
EDUC201,"Students, Teachers, and Learning Environments"
EDUC202,Foundations of Learning and Instruction
EDUC290,Field Experience in Education
EDUC300,Internship I Teaching & Professional Assessment Lab
EDUC310,Diversity & Social Justice in Education
EDUC316,Early Adolescent Literacy and Learning
EDUC325,Educational Technology
EDUC333,Integrated Arts in the Elementary Classroom
EDUC335,Teaching Frameworks
EDUC340,STEM Education Though a Transdisciplinary Approach
EDUC372,Teaching Writing in the Classroom
EDUC376,Special and Multicultural Education
EDUC390,Field Experience in Early Childhood Education
EDUC391,Teaching Internship I: Secondary Education
EDUC392,K-12 Field Experience
EDUC401,Assistantship Seminar
EDUC402,Internship I Seminar
EDUC403,Assessment and Management of Learning
EDUC406,Leadership Seminar
EDUC422,Leadership Seminar
EDUC429,The School and Community
EDUC430,Desktop Publishing for Educators
EDUC432,Hypermedia & Multimedia: Educational Applications
EDUC434,LOGO: Ed. Programming & Instructional Techniques
EDUC440,STEM Lab
EDUC445,Strategic Reading and Writing in the Middle Grades
EDUC446,Using Databases for Critical Thinking
EDUC450,Art Education Methods for the Secondary Teacher
EDUC451,Art Education Methods for the Elementary Teacher
EDUC452,General Music Methods in the Elementary School
EDUC453,General Music Methods in the Secondary School
EDUC454,Microcomputer Application in Education
EDUC490,Special Topics in Education
EDUC497,Teaching Internship: K-12 Programs
EDUC499,Individual Problems in Education
ENEE114,Programming Concepts for Engineers
ENEE204,Basic Circuit Theory
ENEE206,Fundamental Electric & Digital Circuit Laboratory
ENEE241,Numerical Techniques in Engineering
ENEE244,Digital Logic Design
ENEE303,Analog and Digital Electronics
ENEE307,Electronic Circuits Design Laboratory
ENEE313,Introduction to Device Physics
ENEE322,Signal and System Theory
ENEE324,Engineering Probability
ENEE350,Computer Organization
ENEE380,Electromagnetic Theory
ENEE381,Electromagnetic Wave Propagation
ENEE408,Capstone Design Project for Electrical Engineers
ENEE417,Microelectronics Design Laboratory
ENEE435,Introduction to Wireless Sensor Networks
ENEE439,Topics in Signal Processing
ENEE445,Introduction to Communication Systems
ENEE461,Control Systems
ENEE475,Power Electronics
ENEE481,Project Development in Electrical Engineering
ENEE488,Independent Study in Electrical Engineering
ENEE490,Special Topics in Electrical Engineering
ENEE499,Senior Project in Electrical and Computer Engineering
ELED307,Teaching Assistantship
ELED471,"Mathematics Curriculum, Methods and Assessment"
ELED472,"Language Arts Curriculum, Methods and Assessment"
ELED474,"Science Curriculum, Methods and Assessment"
ELED475,"Social Studies Curriculum, Methods and Assessment"
ELED494,Teaching Internship I: P-9
ELED495,Teaching Internship II: P-9
ENES98,Introduction to Additive Manufacturing
ENES99,Introduction to Workshop and Machine Shop
ENES100,Introduction to Engineering Design
ENES102,Statics
ENES220,Mechanics of Materials
ENES221,Dynamics
ENES304,Computational Techniques
ENES310,Mechatronic and Robotic Design
ENES320,Wind and Solar-Powered Generation System Design
ENES401,Fundamentals of Energy Engineering
ENES491,Engineering Seminar
ENES495,Engineering Internship
ENGL100,Publication Practicum
ENGL101,First-Year Composition
ENGL105,Critical Reading
ENGL107,English Praxis
ENGL111,Honors: First-Year Composition
ENGL150,Introduction to Literature
ENGL197,Career Paths in English
ENGL207,Introduction to Film Studies
ENGL208,Film and American Culture
ENGL215,Grammar for Writing
ENGL221,Intro. To Literature/Intermediate Composition
ENGL231,African American Literature
ENGL250,Honors: Comparative Literature
ENGL260,British Literature: Beowulf to Present
ENGL261,Literature of the United States: Pre-Colonial to Present
ENGL270,European & Neo-European Literature
ENGL271,Asian & African Literature
ENGL276,Adolescent Literature
ENGL280,Mythology and Literature
ENGL281,Literature Into Film
ENGL282,Shakespeare on Film
ENGL290,Topics in Language and Literature
ENGL300,Critical Writing About Literature
ENGL306,English Language Structure Development
ENGL308,Social Sciences Advanced Composition
ENGL309,Advanced Composition: Humanities
ENGL310,General Advanced Composition
ENGL312,Honors: Advanced Composition
ENGL330,Business Writing
ENGL334,Creative Writing: Fiction
ENGL335,Creative Writing: Poetry
ENGL336,Journalistic Writing
ENGL338,Technical Writing
ENGL339,Scientific Writing
ENGL340,Shakespeare
ENGL344,Film Theory
ENGL345,Film Genre
ENGL355,Socially Networked Journalism
ENGL360,Creative Nonfiction
ENGL371,Literature of the Middle Ages
ENGL372,Early Modern Literature
ENGL373,Literature of the Enlightenment
ENGL374,Literature of the Age of Revolution
ENGL375,Romanticism
ENGL376,Realism and Naturalism
ENGL377,Modernism
ENGL378,Postmodernism
ENGL379,Postcolonial Literature
ENGL402,Editing and Production
ENGL416,History of the English Language
ENGL418,Second Language Acquisition: Theory & Application
ENGL430,The Composing Processes
ENGL431,World Drama I: Premodern
ENGL432,World Drama II: 20th Century
ENGL434,Advanced Fiction Writing
ENGL435,Advanced Poetry Writing
ENGL436,Advanced News and Feature Writing
ENGL438,Applied Digital Writing
ENGL440,Literature of the Environment
ENGL450,Women and Literature
ENGL460,Form and Theory of Fiction and Poetry
ENGL470,Senior Workshop
ENGL471,Seminar in Critical Theory
ENGL480,Senior Seminar in English
ENGL489,English Capstone
ENGL490,Selected Topics in English
ENGL491,Practicum in the Teaching of Writing
ENGL492,Internship Seminar
ENGL493,The Shakespeare Festival
ENGL494,Field Experience in Writing
ENGL495,Internship in English
ENGL499,Independent Study
EXSS103,Foundations of Exercise & Sport Science
EXSS115,Methods of Group Exercise Instruction
EXSS175,Foundations of Resistance Training
EXSS200,Nutrition
EXSS300,Advanced Human Nutrition
EXSS303,Biomechanics for Exercise and Sport Science
EXSS305,Care and Prevention of Athletic Injuries
EXSS306,Organization & Administration of Exercise and Sports Science
EXSS315,Nutrition for the Physically Active
EXSS330,Exercise Epidemiology
EXSS341,Psychology of Physical Activity
EXSS401,Physiology of Exercise
EXSS410,Advanced Strength Training
EXSS411,Evaluation and Prescription in Fitness
EXSS430,Training for Peak Performance
EXSS435,Lifespan Health and Fitness
EXSS482,Field Experience in Exercise & Sport Science
EXSS492,Seminar in Exercise & Sport Science
EXSS495,Internship in Exercise & Sport Science
FINA303,Principles of Finance
FINA370,Corporate Finance
FINA371,Insurance Planning and Risk Management
FINA375,Financial Institutions Management
FINA377,Retirement Income Planning
FINA381,Principles of Real Estate
FINA405,Short-Term Financial Management
FINA420,Entrepreneurial Finance
FINA451,Estate Planning and Advanced Topics in Financial Planning
FINA475,Securities Investment
FINA476,Financial Management
FINA477,International Financial Management
FINA479,Financial Policy
FINA490,Special Topics in Business Administration - Finance
FINA494,Internship in Finance
FINA499,Independent Study in Finance
FREN101,Basic Elements of French I
FREN102,Basic Elements of French II
FREN211,"French Grammar, Composition, and Conversation I"
FREN212,"French Grammar, Composition, and Conversation II"
FREN250,Overview of French Language and Culture
FREN330,Advanced Conversation
FREN331,Advanced Composition
FREN332,French for the Professions
FREN335,Intro. To French Literary Texts
FREN336,French Civilization Through Film and Literature
FREN410,French Poetry and Drama
FREN411,"French Fiction, Non-Fiction and Film"
FREN430,Individual and Society in Francophone World
FREN431,Translation
FREN490,Special Topics in French Language and Literature
FREN493,Senior Seminar in French Literature
FREN495,Internship in French
FREN496,Senior Seminar in French Professional Studies
FREN498,Readings in French
FREN499,Individual Problems in the French Language
GEOG103,Physical Geography
GEOG104,Human Geography
GEOG110,World Regional Geography: Cultural Diversity
GEOG113,Honors: Physical Geography
GEOG114,Honors: Human Geography
GEOG150,"Earth, Wind and Fire: An Environmental Science Approach to Natural Hazards and Disasters"
GEOG205,Descriptive Meteorology
GEOG207,Physical Geology & Geomorphology
GEOG208,Earth System History
GEOG209,"People, Places and Landscapes of Appalachia"
GEOG222,Introduction to Cities
GEOG275,Fundamentals of Geographic Data Handling
GEOG300,Economic Geography
GEOG301,Geography of North America
GEOG302,Geography of Maryland
GEOG310,Fundamentals of Cartography
GEOG317,Principles of Geographic Information Science
GEOG320,Geography of Latin America
GEOG324,Urban Geography
GEOG330,Global Climate Change
GEOG335,Oceanography
GEOG340,"Soil: Genesis, Nature and Characterization"
GEOG341,Introduction to Geochemistry
GEOG360,Food Systems
GEOG380,Research Methods In Geography
GEOG400,Geography of Asia
GEOG401,Geography of Europe
GEOG402,Geography of Northern Eurasia
GEOG403,Geography of Sub-Saharan Africa
GEOG404,Geography of the Middle East and Central Asia
GEOG405,Physical Climatology
GEOG406,Management and Conservation of Natural Resources
GEOG407,Political Geography
GEOG410,Locational Analysis
GEOG413,Remote Sensing-Image Interpretation
GEOG420,Topics in the Mapping and Geospatial Sciences
GEOG421,Regional Planning
GEOG425,Geography of Transportation
GEOG427,Geography of Languages and Religions
GEOG430,Surface Water Hydrology
GEOG431,Quaternary Environments
GEOG432,Groundwater Hydrology
GEOG433,Surveying and Field Techniques
GEOG435,Field Experiences in Geography
GEOG441,Soil Analysis
GEOG445,Biogeography
GEOG450,Urban Planning
GEOG452,Rural Geography
GEOG454,Geography of Tourism
GEOG455,Tourism Planning
GEOG460,Natural Hazards in the Physical Environment
GEOG469,Principles of Atmospheric Science
GEOG470,Environmental Restoration
GEOG471,Engineering for Land Development
GEOG472,Environmental Planning
GEOG473,Environmental Law
GEOG475,Advanced Geomorphology
GEOG477,Advanced Geology
GEOG480,The Geographic Perspective
GEOG481,Geography Capstone
GEOG482,Senior Project (I)
GEOG483,Senior Project (II)
GEOG485,Senior Project
GEOG486,Earth Science Capstone
GEOG488,Environmental Practicum
GEOG490,Special Topics in Geography
GEOG492,Internship: Research in Geography
GEOG495,Internship in Geography
GEOG499,Research in Geography
GUCO406,Introduction To Guidance
HEED100,Personal Wellness
HEED495,Internship in Health Promotion
HLTH101,Community Health Promotion
HLTH125,Health and Culture
HLTH330,Epidemiology of Health
HLTH405,Sexuality
HLTH430,Methods & Materials for Health Promotion
HLTH435,Health Promotion Programming
HLTH483,Field Experience in Community Health Education
HLTH492,Seminar in Community Health Education
HPED103,Foundations of Physical Education
HPED104,Foundations of Health Education
HPED201,Teaching Fitness
HPED202,Teaching Tactical Games I
HPED203,Teaching Tactical Games II
HPED204,Teaching Dance and Gymnastics
HPED205,Teaching Outdoor Adventures and Group Initiatives
HPED208,Inclusion Strategies in Health Education
HPED230,Assessment Design in Health and Physical Education
HPED232,Teaching Substance Abuse and Safety & Violence Prevention
HPED233,Teaching Family Life and Human Sexuality & Mental & Emotional Health
HPED234,Teaching Disease Prevention and Control and Healthy Eating
HPED301,Applied Biomechanics
HPED309,Wellness and the Whole Child
HPED310,Technology in Health and Wellness Education
HPED402,Adapted Physical Education
HPED404,Health Instruction
HPED406,Applied Physiology
HPED407,Motor Learning and Performance
HPED408,Elementary Methods of Physical Education
HPED416,Curriculum Design in Health and Physical Education
HPED418,Secondary Methods of Physical Education
HPED497,Teaching Internship: K-12 Programs
HSCI101,Medical Terminology
HSCI425,Biostatistics
HSCI491,Health Science Seminar
HIST100,The Contemporary World in Historical Perspective
HIST103,History of the United States to 1876
HIST104,"History of the United States, 1876 to the Present"
HIST111,Honors: The Contemporary World in Historical Perspective
HIST113,World History to 1500
HIST114,"World History, 1500-1900"
HIST290,Special Topics in History
HIST299,Writing and Research in History
HIST301,Traditional Africa
HIST303,History of Latin America to 1825
HIST304,"History of Latin America, 1825 to the Present"
HIST306,Medieval Europe
HIST307,Renaissance and Reformation Europe
HIST308,"Europe, 1600-1815"
HIST310,Ancient Greece and Rome
HIST341,The Modern and Contemporary Middle East
HIST353,Contemporary Africa
HIST360,Modern and Contemporary Asia
HIST376,Modern Europe
HIST403,Imperial Russia
HIST404,Revolutionary and Soviet Russia
HIST409,World Environmental History
HIST418,Native Peoples of the Americas
HIST419,A History of Terrorism
HIST420,Green: Environment and Economy in US History
HIST433,Public History
HIST434,Women in the United States
HIST436,Women's Issues in World History
HIST437,History of Korea
HIST445,History of Maryland
HIST450,The History of Mexico
HIST455,Latin American Revolutions
HIST457,India
HIST458,History of China
HIST459,History of Japan
HIST461,"Colonial America, 1492-1754"
HIST462,Revolutionary America 1755-1799
HIST463,"The Early American Republic, 1800-1848"
HIST464,"The Civil War and Reconstruction, 1849-1877"
HIST465,"Gilded Age America, 1877-1913"
HIST466,"The United States in the 20th Century, 1914-1945"
HIST467,"The U.S. in the 20th Century, 1945-Present"
HIST470,America and the Vietnam War
HIST475,Genocide and Mass Violence
HIST480,The American West
HIST481,Experiential History/International
HIST482,Experiential History/Americans
HIST484,Practicum in History
HIST485,Seminar in History
HIST489,Special Topics in International History
HIST490,Special Topics in History of the Americas
HIST492,Internship Seminar
HIST495,Internship in History
HIST498,Readings in History
HIST499,Individual Research in History
HMGT101,UMES-Analysis of the Hospitality Industry
HMGT350,UMES-Marketing Hospitality and Leisure Services
HMGT396,Hospitality Management Special Topics
HMGT401,UMES-Law and the Hospitality Industry
ITEC312,Human-Computer Interaction
ITEC315,Programming
ITEC345,Database Systems I
ITEC355,Network Implementation
ITEC360,Operating Systems
ITEC410,Diversity in the Global Information Technology
ITEC414,Knowledge Management
ITEC442,Electronic Commerce
ITEC445,Database Systems II
ITEC452,Network and Administration Security
ITEC462,Emergin Issues and Technologies
ITEC470,Security and Risk Management
ITEC472,Ethical Hacking
ITEC475,Computer and Cyber Forensics
ITEC480,Project Management
ITEC489,Capstone
ITEC491,Seminar in Information Technology
ITEC494,Field Experience in Information Technology
ITEC499,Individual Problems in Information Technology
IDIS150,First-Year FSU Colloquium
IDIS151,Honors: First-Year Colloquium
IDIS155,Introduction to Sustainability Studies
